Rank,State,Gallons Overall*
1,California,81.2M
2,Texas,51.8M
3,Florida,47M
4,New York,36.3M
5,Illinois,25.2M
5,Pennsylvania,25.2M
7,Michigan,19.7M
7,Ohio,19.7M
9,North Carolina,18.7M
10,New Jersey,17.5M
11,Georgia,16.4M
12,Virginia,15.1M
13,Massachusetts,15M
14,Wisconsin,14.2M
15,Washington,13.9M
16,Colorado,13.6M
17,Arizona,13.3M
18,Minnesota,12.8M
19,Missouri,12.7M
20,Tennessee,12M
21,Indiana,11.8M
22,Maryland,10.4M
23,Louisiana,9.7M
24,Oregon,9.6M
25,South Carolina,9.1M
26,Nevada,8.5M
27,Alabama,8M
27,Connecticut,7.3M
29,Kentucky,7.2M
30,Iowa,6.2M
31,Oklahoma,5.9M
32,New Hampshire,5.4M
33,Mississippi,5.3M
34,Kansas,4.5M
35,Arkansas,4.4M
36,Idaho,4.1M
37,New Mexico,3.9M
38,Nebraska,3.4M
39,Maine,3.3M
39,Utah,3.3M
41,Hawaii,3.1M
42,Delaware,2.9M
43,Montana,2.7M
43,West Virginia,2.7M
45,Rhode Island,2.4M
46,"Washington, D.C.",2.3M
47,North Dakota,2M
48,Alaska,1.7M
48,Vermont,1.7M
48,South Dakota,1.7M
51,Wyoming,1.3M
